Process ID,Arrival,Burst,Start,Finish,Waiting,Turnaround,Response Time
P55,2,1,2,3,0,1,0
P22,3,1,3,4,0,1,0
P69,1,3,1,6,2,5,0
P18,6,1,6,7,0,1,0
P19,6,1,7,8,1,2,1
P6,3,2,8,10,5,7,5
P58,9,1,10,11,1,2,1
P76,4,2,11,13,7,9,7
P95,4,2,13,15,9,11,9
P59,6,2,15,17,9,11,9
P28,7,2,17,19,10,12,10
P72,8,2,19,21,11,13,11
P17,5,3,21,24,16,19,16
P52,9,3,24,27,15,18,15
P35,0,5,0,31,26,31,0
P5,2,4,31,35,29,33,29
P21,3,4,35,39,32,36,32
P88,4,4,39,43,35,39,35
P66,8,4,43,47,35,39,35
P46,9,4,47,51,38,42,38
P7,2,5,51,56,49,54,49
P89,5,5,56,61,51,56,51
P56,9,5,61,66,52,57,52
P9,2,6,66,72,64,70,64
P30,2,6,72,78,70,76,70
P86,5,6,78,84,73,79,73
P61,6,6,84,90,78,84,78
P38,7,6,90,96,83,89,83
P12,9,6,96,102,87,93,87
P100,6,7,102,109,96,103,96
P11,8,7,109,116,101,108,101
P92,8,7,116,123,108,115,108
P82,9,7,123,130,114,121,114
P37,1,8,130,138,129,137,129
P47,1,8,138,146,137,145,137
P81,1,8,146,154,145,153,145
P83,3,8,154,162,151,159,151
P2,4,8,162,170,158,166,158
P8,4,8,170,178,166,174,166
P70,4,8,178,186,174,182,174
P87,6,8,186,194,180,188,180
P13,7,8,194,202,187,195,187
P94,8,8,202,210,194,202,194
P1,9,8,210,218,201,209,201
P36,2,9,218,227,216,225,216
P24,4,9,227,236,223,232,223
P63,4,9,236,245,232,241,232
P75,4,9,245,254,241,250,241
P77,0,10,254,264,254,264,254
P80,5,10,264,274,259,269,259
P79,8,10,274,284,266,276,266
P10,9,10,284,294,275,285,275
P97,5,11,294,305,289,300,289
P40,9,11,305,316,296,307,296
P60,9,11,316,327,307,318,307
P29,1,12,327,339,326,338,326
P42,4,12,339,351,335,347,335
P48,7,12,351,363,344,356,344
P65,7,12,363,375,356,368,356
P62,9,12,375,387,366,378,366
P74,9,12,387,399,378,390,378
P45,2,13,399,412,397,410,397
P50,3,13,412,425,409,422,409
P39,0,14,425,439,425,439,425
P67,3,14,439,453,436,450,436
P78,4,14,453,467,449,463,449
P84,6,14,467,481,461,475,461
P3,1,15,481,496,480,495,480
P16,6,15,496,511,490,505,490
P20,8,15,511,526,503,518,503
P99,9,15,526,541,517,532,517
P4,6,16,541,557,535,551,535
P93,8,16,557,573,549,565,549
P44,9,16,573,589,564,580,564
P49,9,16,589,605,580,596,580
P26,0,17,605,622,605,622,605
P91,1,17,622,639,621,638,621
P73,2,17,639,656,637,654,637
P96,4,17,656,673,652,669,652
P32,5,17,673,690,668,685,668
P23,9,17,690,707,681,698,681
P51,0,18,707,725,707,725,707
P54,1,18,725,743,724,742,724
P90,5,18,743,761,738,756,738
P85,9,18,761,779,752,770,752
P14,0,19,779,798,779,798,779
P31,1,19,798,817,797,816,797
P33,1,19,817,836,816,835,816
P15,3,19,836,855,833,852,833
P43,3,19,855,874,852,871,852
P34,5,19,874,893,869,888,869
P53,5,19,893,912,888,907,888
P71,7,19,912,931,905,924,905
P41,0,20,931,951,931,951,931
P27,2,20,951,971,949,969,949
P68,2,20,971,991,969,989,969
P25,3,20,991,1011,988,1008,988
P98,4,20,1011,1031,1007,1027,1007
P64,5,20,1031,1051,1026,1046,1026
P57,6,20,1051,1071,1045,1065,1045
SUMMARY,SRTF - Shortest Remaining Time Left,100 processes,Avg Wait: 353.26,Avg Turn: 363.97,Avg Response: 352.98,CPU Utilization %: 100.00,Throughput: 0.0934,,
